Maia,311,1407,1491642,frança,NãoRegistado,duplo,NRF,2022-05-09,2022-06-09,2022-06-10,1,1,1,0,1,73.0,31,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Valongo,309,1372,1492508,portugal,Cancelado,duplo,NRF,2022-05-10,2022-05-17,2022-05-18,1,2,2,0,2,47.7,7,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,41,0,No,null
Covilhã,556,2831,1496861,portugal,Registado,duplo,Website,2022-05-15,2022-07-23,2022-07-24,1,2,4,0,2,136.8,69,3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Cascais,443,2062,1502208,espanha,Cancelado,vistas_panorâmicas,RO,2022-05-22,2022-07-06,2022-07-09,3,2,2,0,2,840.0,45,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,42,1,No,null
Aveiro,321,1417,1508080,espanha,Registado,duplo,BAR,2022-05-29,2022-07-24,2022-07-25,1,2,2,0,2,70.0,56,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,68,0,No,null
Portimão,482,2286,1515320,portugal,Registado,t2,Website,2022-06-07,2022-08-21,2022-08-26,5,5,5,0,5,1472.5,75,6,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,143,0,No,null
Maia,311,1407,1515841,itália,Registado,duplo,RO,2022-06-08,2022-06-22,2022-06-23,1,1,1,0,1,74.0,14,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Portimão,482,2285,1516916,portugal,Registado,t1,Website,2022-06-09,2022-07-16,2022-07-22,6,4,4,0,4,945.25,37,4,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,143,0,No,null
Covilhã,556,2831,1519266,portugal,Registado,duplo,Website,2022-06-13,2022-06-18,2022-06-19,1,2,2,0,2,69.7,5,3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Aveiro,319,2264,1529673,coreia do sul,Registado,standard,NRF,2022-06-27,2022-07-04,2022-07-08,4,1,1,0,1,198.0,7,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,96,0,No,null
Nazaré,444,2384,1529752,portugal,Registado,twin,RO,2022-06-27,2022-07-21,2022-07-25,4,1,1,0,1,480.0,24,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
